Notes :


2019/2/12 ¤W¤È 11:21:55
Volts
Ch : LED 2	Ch : LED 3	Ch : LED 1	Ch : LED 1 AMBIENT	Ch : LED 2 - LED3	Ch : LED 1 - LED 1 AMBIENT	
136.339760E-3	233.306122E-3	362.841797E-3	186.651993E-3	45.776367E-6	176.189804E-3
136.019325E-3	233.017159E-3	362.521935E-3	186.468887E-3	45.776367E-6	176.053047E-3
136.184120E-3	233.269501E-3	362.953949E-3	186.730385E-3	45.776367E-6	176.223564E-3
137.064171E-3	234.203911E-3	364.172745E-3	187.743759E-3	45.776367E-6	176.428986E-3
136.652756E-3	233.624840E-3	363.770485E-3	186.893463E-3	45.776367E-6	176.877022E-3
136.931992E-3	233.825111E-3	364.321518E-3	187.327194E-3	45.776367E-6	176.994324E-3
136.467361E-3	233.462334E-3	364.260292E-3	186.860275E-3	45.776367E-6	177.400017E-3
136.810112E-3	233.883476E-3	364.843369E-3	187.299728E-3	45.776367E-6	177.543640E-3
137.587738E-3	234.735489E-3	366.080475E-3	188.373184E-3	45.776367E-6	177.707291E-3
137.265015E-3	234.296036E-3	365.795517E-3	187.849045E-3	45.776367E-6	177.946472E-3
137.569427E-3	234.647942E-3	366.244698E-3	187.994385E-3	45.776367E-6	178.250313E-3
137.024117E-3	234.186745E-3	365.812683E-3	187.538338E-3	45.776367E-6	178.274345E-3
137.381172E-3	234.520912E-3	366.230965E-3	187.723160E-3	45.776367E-6	178.507805E-3
138.219452E-3	235.259056E-3	367.185402E-3	188.623238E-3	45.776367E-6	178.562164E-3
137.745667E-3	234.800148E-3	366.790009E-3	187.938881E-3	45.776367E-6	178.851128E-3
138.132477E-3	235.194397E-3	367.008018E-3	188.001823E-3	45.776367E-6	179.006195E-3
137.345123E-3	234.451675E-3	366.447258E-3	187.524033E-3	45.776367E-6	178.923225E-3
137.672424E-3	234.800720E-3	366.781998E-3	188.132858E-3	45.776367E-6	178.649139E-3
138.538742E-3	235.719109E-3	367.577934E-3	188.673019E-3	45.776367E-6	178.904915E-3
137.876129E-3	235.169792E-3	367.181396E-3	188.417816E-3	45.776367E-6	178.763580E-3
138.347054E-3	235.571480E-3	367.715836E-3	188.514519E-3	45.776367E-6	179.201317E-3
137.453842E-3	234.872818E-3	367.141342E-3	187.862206E-3	45.776367E-6	179.279137E-3
137.859535E-3	235.184097E-3	367.606544E-3	188.035011E-3	45.776367E-6	179.571533E-3
138.484383E-3	235.986900E-3	368.591309E-3	188.922501E-3	45.776367E-6	179.668808E-3
138.204575E-3	235.501671E-3	368.140984E-3	188.570023E-3	45.776367E-6	179.570961E-3
138.750458E-3	235.977745E-3	368.919754E-3	189.055824E-3	45.776367E-6	179.863930E-3
137.959099E-3	235.013580E-3	368.351555E-3	188.238716E-3	45.776367E-6	180.112839E-3
138.335609E-3	235.455322E-3	368.755531E-3	188.630104E-3	45.776367E-6	180.125427E-3
138.838005E-3	236.043549E-3	369.579506E-3	189.359093E-3	45.776367E-6	180.220413E-3
138.432884E-3	235.667610E-3	369.365501E-3	188.690186E-3	45.776367E-6	180.675316E-3
139.233971E-3	236.251831E-3	370.064163E-3	189.130783E-3	45.776367E-6	180.933380E-3
138.381958E-3	235.370064E-3	369.559479E-3	188.387489E-3	45.776367E-6	181.171989E-3
138.720703E-3	235.842133E-3	370.057297E-3	188.574600E-3	45.776367E-6	181.482697E-3
139.377594E-3	236.499596E-3	370.859528E-3	189.314461E-3	45.776367E-6	181.545067E-3
138.987923E-3	235.989761E-3	370.674706E-3	188.907051E-3	45.776367E-6	181.767654E-3
139.784431E-3	236.751938E-3	371.525574E-3	189.544487E-3	45.776367E-6	181.981087E-3
