Notes :


2019/2/12 ¤U¤È 12:14:34
Volts
Ch : LED 2	Ch : LED 3	Ch : LED 1	Ch : LED 1 AMBIENT	Ch : LED 2 - LED3	Ch : LED 1 - LED 1 AMBIENT	
192.883873E-3	199.381256E-3	517.500687E-3	43.302727E-3	40.626526E-6	474.197960E-3
192.913055E-3	199.332619E-3	517.631721E-3	43.505859E-3	40.626526E-6	474.125862E-3
192.669868E-3	199.121475E-3	517.384529E-3	43.225479E-3	40.626526E-6	474.159050E-3
193.523598E-3	199.911690E-3	518.281746E-3	44.063759E-3	40.626526E-6	474.217987E-3
193.039513E-3	198.941231E-3	517.422295E-3	43.204880E-3	40.626526E-6	474.217415E-3
193.206024E-3	199.476814E-3	517.889786E-3	43.542480E-3	40.626526E-6	474.347305E-3
193.136215E-3	199.366951E-3	518.098068E-3	43.459511E-3	40.626526E-6	474.638557E-3
193.037224E-3	199.328613E-3	518.055725E-3	43.297005E-3	40.626526E-6	474.758720E-3
193.755913E-3	200.034714E-3	518.913460E-3	44.131279E-3	40.626526E-6	474.782181E-3
193.261528E-3	199.538040E-3	518.578720E-3	43.307877E-3	40.626526E-6	475.270844E-3
193.462944E-3	199.599838E-3	518.817329E-3	43.481255E-3	40.626526E-6	475.336075E-3
193.347931E-3	199.504852E-3	518.833351E-3	43.488121E-3	40.626526E-6	475.345230E-3
193.252373E-3	199.458504E-3	518.868256E-3	43.301582E-3	40.626526E-6	475.566673E-3
194.074059E-3	200.214958E-3	519.772339E-3	44.152451E-3	40.626526E-6	475.619888E-3
193.395996E-3	199.674797E-3	519.388962E-3	43.712425E-3	40.626526E-6	475.676537E-3
193.656349E-3	199.783516E-3	519.532585E-3	43.787956E-3	40.626526E-6	475.744629E-3
193.504715E-3	199.607277E-3	519.585228E-3	43.709564E-3	40.626526E-6	475.875664E-3
193.624306E-3	199.603271E-3	519.653320E-3	43.521881E-3	40.626526E-6	476.131439E-3
194.292641E-3	200.283051E-3	520.640373E-3	44.170761E-3	40.626526E-6	476.469612E-3
193.820000E-3	199.691963E-3	520.063591E-3	43.569946E-3	40.626526E-6	476.493645E-3
193.989944E-3	199.891090E-3	520.081329E-3	43.830299E-3	40.626526E-6	476.251030E-3
193.647194E-3	199.715424E-3	520.035553E-3	43.532753E-3	40.626526E-6	476.502800E-3
193.625450E-3	199.648476E-3	519.592094E-3	43.384552E-3	40.626526E-6	476.207542E-3
194.037437E-3	200.201797E-3	519.758034E-3	44.150162E-3	40.626526E-6	475.607872E-3
193.112755E-3	199.458504E-3	518.374443E-3	43.469238E-3	40.626526E-6	474.905205E-3
193.087578E-3	199.420166E-3	517.641449E-3	43.523026E-3	40.626526E-6	474.118423E-3
192.407227E-3	198.945808E-3	516.603470E-3	43.212318E-3	40.626526E-6	473.391151E-3
192.374611E-3	199.054527E-3	516.245270E-3	43.334770E-3	40.626526E-6	472.910500E-3
192.872429E-3	199.562645E-3	516.452980E-3	43.965340E-3	40.626526E-6	472.487640E-3
192.200661E-3	198.958969E-3	515.562057E-3	43.232918E-3	40.626526E-6	472.329140E-3
192.426109E-3	199.235916E-3	515.587807E-3	43.341064E-3	40.626526E-6	472.246742E-3
191.893959E-3	198.684883E-3	515.106583E-3	43.105316E-3	40.626526E-6	472.001266E-3
192.146301E-3	198.868561E-3	515.131760E-3	43.225479E-3	40.626526E-6	471.906281E-3
192.517662E-3	199.571800E-3	515.817261E-3	43.839455E-3	40.626526E-6	471.977806E-3
192.033005E-3	199.017334E-3	515.090561E-3	43.299866E-3	40.626526E-6	471.790695E-3
192.176628E-3	199.144363E-3	515.135193E-3	43.502998E-3	40.626526E-6	471.632195E-3
191.686249E-3	198.748398E-3	514.477730E-3	43.164253E-3	40.626526E-6	471.313477E-3
191.891670E-3	198.892593E-3	514.711189E-3	43.248367E-3	40.626526E-6	471.462822E-3
192.457581E-3	199.236488E-3	515.007019E-3	43.876076E-3	40.626526E-6	471.130943E-3
191.850471E-3	198.799324E-3	514.409065E-3	43.147659E-3	40.626526E-6	471.261406E-3
192.182350E-3	199.156380E-3	514.524651E-3	43.350220E-3	40.626526E-6	471.174431E-3
191.440773E-3	198.518372E-3	513.943291E-3	42.843819E-3	40.626526E-6	471.099472E-3
191.607857E-3	198.648262E-3	513.983345E-3	43.074989E-3	40.626526E-6	470.908356E-3
192.158318E-3	199.401855E-3	514.727783E-3	43.453789E-3	40.626526E-6	471.273994E-3
191.643906E-3	198.784447E-3	514.051437E-3	42.973137E-3	40.626526E-6	471.078300E-3
191.913414E-3	198.940659E-3	514.401054E-3	43.303299E-3	40.626526E-6	471.097755E-3
191.328049E-3	198.250580E-3	513.791656E-3	42.815781E-3	40.626526E-6	470.975876E-3
191.638756E-3	198.599625E-3	514.196777E-3	43.105888E-3	40.626526E-6	471.090889E-3
192.172050E-3	199.045944E-3	514.803886E-3	43.811989E-3	40.626526E-6	470.991898E-3
191.679382E-3	198.651123E-3	514.470291E-3	43.172836E-3	40.626526E-6	471.297455E-3
192.243576E-3	199.077415E-3	514.904022E-3	43.429184E-3	40.626526E-6	471.474838E-3
191.584396E-3	198.326111E-3	514.397049E-3	42.792320E-3	40.626526E-6	471.604729E-3
191.851616E-3	198.679161E-3	514.767838E-3	43.037796E-3	40.626526E-6	471.730042E-3
192.233849E-3	199.141502E-3	515.271950E-3	43.574524E-3	40.626526E-6	471.697426E-3
191.685104E-3	198.625374E-3	514.764977E-3	43.140793E-3	40.626526E-6	471.624184E-3
192.254448E-3	199.365807E-3	515.290833E-3	43.530464E-3	40.626526E-6	471.760368E-3
191.519165E-3	198.515511E-3	514.495468E-3	42.810059E-3	40.626526E-6	471.685410E-3
191.781807E-3	198.740959E-3	514.816475E-3	43.092728E-3	40.626526E-6	471.723747E-3
191.981506E-3	198.998451E-3	515.084267E-3	43.466949E-3	40.626526E-6	471.617317E-3
191.673088E-3	198.591614E-3	514.694023E-3	42.938805E-3	40.626526E-6	471.755219E-3
192.384338E-3	199.313736E-3	515.374947E-3	43.659782E-3	40.626526E-6	471.715164E-3
191.637039E-3	198.597336E-3	514.703178E-3	42.882729E-3	40.626526E-6	471.820450E-3
