Notes :


2018/12/4 ¤U¤È 07:17:48
Volts
Ch : LED 2	Ch : LED 3	Ch : LED 1	Ch : LED 1 AMBIENT	Ch : LED 2 - LED3	Ch : LED 1 - LED 1 AMBIENT	
169.576263E-3	235.430717E-3	459.427643E-3	37.715721E-3	44.631958E-6	421.711922E-3
169.089317E-3	234.760094E-3	459.469414E-3	36.993599E-3	44.631958E-6	422.475815E-3
169.872665E-3	235.447311E-3	460.440445E-3	37.825012E-3	44.631958E-6	422.615433E-3
169.241524E-3	234.762955E-3	460.481071E-3	37.139511E-3	44.631958E-6	423.341560E-3
169.683266E-3	235.207558E-3	461.041832E-3	37.385559E-3	44.631958E-6	423.656273E-3
170.090675E-3	235.754013E-3	461.563683E-3	37.835884E-3	44.631958E-6	423.727798E-3
169.539070E-3	235.166931E-3	461.231232E-3	37.179565E-3	44.631958E-6	424.051666E-3
170.402527E-3	235.929108E-3	462.070656E-3	37.930870E-3	44.631958E-6	424.139786E-3
169.412613E-3	235.022163E-3	461.083603E-3	37.153244E-3	44.631958E-6	423.930359E-3
169.564819E-3	235.120583E-3	460.360909E-3	37.350655E-3	44.631958E-6	423.010254E-3
169.398880E-3	235.108566E-3	458.986473E-3	37.736320E-3	44.631958E-6	421.250153E-3
168.197250E-3	234.124374E-3	456.624985E-3	36.860847E-3	44.631958E-6	419.764137E-3
168.224144E-3	234.549522E-3	455.550385E-3	37.523460E-3	44.631958E-6	418.026924E-3
166.627121E-3	233.208275E-3	452.684212E-3	36.444855E-3	44.631958E-6	416.239357E-3
166.477203E-3	233.267212E-3	451.362991E-3	36.663437E-3	44.631958E-6	414.699554E-3
166.263771E-3	233.520126E-3	450.465775E-3	36.973572E-3	44.631958E-6	413.492203E-3
165.363693E-3	232.655525E-3	448.431015E-3	36.118698E-3	44.631958E-6	412.312317E-3
165.732765E-3	233.101845E-3	448.321152E-3	36.871719E-3	44.631958E-6	411.449432E-3
164.547157E-3	231.977463E-3	446.852303E-3	35.914421E-3	44.631958E-6	410.937881E-3
164.830399E-3	232.185173E-3	446.250343E-3	36.313248E-3	44.631958E-6	409.937096E-3
164.850998E-3	232.329369E-3	446.004295E-3	36.557579E-3	44.631958E-6	409.446716E-3
164.188957E-3	231.789207E-3	445.322227E-3	35.848618E-3	44.631958E-6	409.473610E-3
164.827538E-3	232.330513E-3	445.432663E-3	36.614799E-3	44.631958E-6	408.817863E-3
