Notes :


2019/2/12 ¤U¤È 02:05:21
Volts
Ch : LED 2	Ch : LED 3	Ch : LED 1	Ch : LED 1 AMBIENT	Ch : LED 2 - LED3	Ch : LED 1 - LED 1 AMBIENT	
165.810013E-3	216.414642E-3	447.014236E-3	173.123932E-3	52.642822E-6	273.890305E-3
166.007996E-3	216.697311E-3	447.180176E-3	173.519897E-3	52.642822E-6	273.660278E-3
165.683556E-3	216.349411E-3	446.757889E-3	173.151970E-3	52.642822E-6	273.605919E-3
166.510391E-3	217.057228E-3	447.694016E-3	173.926735E-3	52.642822E-6	273.767281E-3
165.586281E-3	216.067886E-3	446.992493E-3	172.958565E-3	52.642822E-6	274.033928E-3
166.078377E-3	216.590309E-3	447.534370E-3	173.225212E-3	52.642822E-6	274.309158E-3
166.294098E-3	216.744232E-3	448.123169E-3	173.507309E-3	52.642822E-6	274.615860E-3
166.231155E-3	216.605186E-3	448.316574E-3	173.339653E-3	52.642822E-6	274.976921E-3
167.220497E-3	217.557907E-3	449.566269E-3	174.212265E-3	52.642822E-6	275.354004E-3
166.381073E-3	216.573143E-3	448.913956E-3	173.401451E-3	52.642822E-6	275.512505E-3
166.839409E-3	217.065811E-3	449.697304E-3	173.925018E-3	52.642822E-6	275.772285E-3
166.939545E-3	217.204857E-3	450.121880E-3	174.090385E-3	52.642822E-6	276.031494E-3
166.854858E-3	216.946793E-3	449.991417E-3	173.756218E-3	52.642822E-6	276.235199E-3
167.737770E-3	217.994499E-3	451.119804E-3	174.688339E-3	52.642822E-6	276.431465E-3
166.837692E-3	216.990852E-3	450.414848E-3	173.610306E-3	52.642822E-6	276.804543E-3
167.318344E-3	217.421722E-3	451.396751E-3	174.006844E-3	52.642822E-6	277.389908E-3
167.526054E-3	217.573929E-3	451.879120E-3	174.251175E-3	52.642822E-6	277.627945E-3
167.598152E-3	217.567635E-3	452.150345E-3	174.279785E-3	52.642822E-6	277.870560E-3
168.591499E-3	218.531227E-3	453.496170E-3	175.051117E-3	52.642822E-6	278.445053E-3
167.879105E-3	217.556763E-3	452.541733E-3	174.062920E-3	52.642822E-6	278.478813E-3
168.128014E-3	217.669487E-3	453.032684E-3	174.455452E-3	52.642822E-6	278.577232E-3
168.001556E-3	217.632866E-3	453.174019E-3	174.444580E-3	52.642822E-6	278.729439E-3
168.070793E-3	217.517853E-3	453.074455E-3	174.324417E-3	52.642822E-6	278.750038E-3
168.940544E-3	218.456268E-3	454.091263E-3	175.246239E-3	52.642822E-6	278.845024E-3
168.400383E-3	217.811966E-3	453.528214E-3	174.170494E-3	52.642822E-6	279.357719E-3
168.406677E-3	217.920685E-3	453.758812E-3	174.472046E-3	52.642822E-6	279.286766E-3
168.287086E-3	217.820549E-3	453.797150E-3	174.490356E-3	52.642822E-6	279.306793E-3
168.378067E-3	217.845726E-3	453.975677E-3	174.304962E-3	52.642822E-6	279.670715E-3
169.238663E-3	218.719482E-3	454.976463E-3	175.292015E-3	52.642822E-6	279.684448E-3
168.438721E-3	217.917252E-3	454.372787E-3	174.472046E-3	52.642822E-6	279.900742E-3
168.654442E-3	218.163872E-3	454.656601E-3	174.624825E-3	52.642822E-6	280.031776E-3
168.591499E-3	217.924118E-3	454.619980E-3	174.485779E-3	52.642822E-6	280.134201E-3
168.669319E-3	218.040848E-3	454.744148E-3	174.434853E-3	52.642822E-6	280.309296E-3
169.646645E-3	218.966103E-3	455.940628E-3	175.304604E-3	52.642822E-6	280.636024E-3
168.797493E-3	217.857742E-3	454.902649E-3	174.230576E-3	52.642822E-6	280.672073E-3
169.092751E-3	218.239403E-3	455.593872E-3	174.866867E-3	52.642822E-6	280.727005E-3
168.955994E-3	218.103790E-3	455.982971E-3	174.794197E-3	52.642822E-6	281.188774E-3
169.393158E-3	218.427086E-3	456.406403E-3	175.046539E-3	52.642822E-6	281.359863E-3
170.276642E-3	219.295692E-3	457.785988E-3	176.016426E-3	52.642822E-6	281.769562E-3
169.946480E-3	218.962669E-3	457.732201E-3	175.448227E-3	52.642822E-6	282.283974E-3
170.058060E-3	218.975830E-3	457.980537E-3	175.562668E-3	52.642822E-6	282.417870E-3
169.629478E-3	218.535233E-3	457.959938E-3	175.292015E-3	52.642822E-6	282.667923E-3
170.039749E-3	218.960953E-3	458.351326E-3	175.345802E-3	52.642822E-6	283.005524E-3
170.960999E-3	219.751740E-3	459.450531E-3	176.562309E-3	52.642822E-6	282.888222E-3
170.340729E-3	219.134331E-3	459.088326E-3	175.654793E-3	52.642822E-6	283.433533E-3
170.547867E-3	219.471931E-3	459.503746E-3	175.749779E-3	52.642822E-6	283.753967E-3
170.142746E-3	219.027328E-3	459.306908E-3	175.238800E-3	52.642822E-6	284.068108E-3
170.555305E-3	219.308281E-3	459.857941E-3	175.602722E-3	52.642822E-6	284.255219E-3
171.406746E-3	220.117950E-3	461.114502E-3	176.617813E-3	52.642822E-6	284.496689E-3
170.928955E-3	219.501686E-3	460.586357E-3	175.875664E-3	52.642822E-6	284.710693E-3
171.297455E-3	219.764328E-3	461.096191E-3	175.956917E-3	52.642822E-6	285.139275E-3
170.633125E-3	219.241333E-3	460.819817E-3	175.674248E-3	52.642822E-6	285.145569E-3
171.040535E-3	219.503975E-3	461.336517E-3	175.812721E-3	52.642822E-6	285.523796E-3
171.683693E-3	220.127678E-3	462.210846E-3	176.677895E-3	52.642822E-6	285.532951E-3
171.229362E-3	219.707680E-3	461.806870E-3	176.198959E-3	52.642822E-6	285.607910E-3
171.604156E-3	219.959450E-3	462.207413E-3	176.370049E-3	52.642822E-6	285.837364E-3
170.850563E-3	219.178963E-3	461.823463E-3	175.549507E-3	52.642822E-6	286.273956E-3
171.200752E-3	219.649315E-3	462.393951E-3	175.761223E-3	52.642822E-6	286.632729E-3
171.774673E-3	220.321083E-3	463.416481E-3	176.820374E-3	52.642822E-6	286.596107E-3
171.532631E-3	219.902802E-3	463.155556E-3	176.060486E-3	52.642822E-6	287.095070E-3
171.982384E-3	220.356560E-3	463.541794E-3	176.529694E-3	52.642822E-6	287.012100E-3
171.074867E-3	219.384384E-3	462.332726E-3	175.870514E-3	52.642822E-6	286.462212E-3
171.147537E-3	219.589806E-3	462.107277E-3	175.850487E-3	52.642822E-6	286.256790E-3
171.423912E-3	219.944000E-3	461.520767E-3	176.200676E-3	52.642822E-6	285.320091E-3
170.373344E-3	219.158936E-3	459.675980E-3	175.694847E-3	52.642822E-6	283.981133E-3
170.391083E-3	219.404411E-3	458.643150E-3	175.591850E-3	52.642822E-6	283.051300E-3
169.188881E-3	218.221664E-3	456.536865E-3	174.623680E-3	52.642822E-6	281.913185E-3
169.101906E-3	218.398476E-3	455.909157E-3	174.749565E-3	52.642822E-6	281.159592E-3
169.070435E-3	218.655396E-3	455.909729E-3	175.592995E-3	52.642822E-6	280.316734E-3
169.024086E-3	218.433952E-3	455.208206E-3	175.144958E-3	52.642822E-6	280.063248E-3
169.402885E-3	218.801308E-3	455.409622E-3	175.217056E-3	52.642822E-6	280.192566E-3
168.266487E-3	217.743301E-3	454.432869E-3	174.403381E-3	52.642822E-6	280.029488E-3
168.677330E-3	218.159866E-3	454.779625E-3	174.925232E-3	52.642822E-6	279.854393E-3
168.887329E-3	218.364716E-3	455.524635E-3	175.253105E-3	52.642822E-6	280.271530E-3
168.929100E-3	218.408775E-3	455.476570E-3	175.092316E-3	52.642822E-6	280.384254E-3
169.933319E-3	219.404984E-3	456.542587E-3	175.712013E-3	52.642822E-6	280.830574E-3
