Notes :


2019/2/12 ¤W¤È 11:10:17
Volts
Ch : LED 2	Ch : LED 3	Ch : LED 1	Ch : LED 1 AMBIENT	Ch : LED 2 - LED3	Ch : LED 1 - LED 1 AMBIENT	
137.849236E-3	211.395836E-3	363.847160E-3	169.172287E-3	38.909912E-6	194.674873E-3
137.238121E-3	210.766411E-3	363.308144E-3	168.408966E-3	38.909912E-6	194.899178E-3
137.398338E-3	210.940361E-3	363.871765E-3	168.568611E-3	38.909912E-6	195.303154E-3
137.468147E-3	210.906601E-3	364.340401E-3	168.586349E-3	38.909912E-6	195.754051E-3
137.397766E-3	210.816193E-3	364.439392E-3	168.475342E-3	38.909912E-6	195.964050E-3
138.677216E-3	212.024689E-3	365.934563E-3	169.561386E-3	38.909912E-6	196.373177E-3
137.850380E-3	211.303711E-3	365.587807E-3	168.849564E-3	38.909912E-6	196.738243E-3
138.188553E-3	211.455345E-3	366.027260E-3	169.028091E-3	38.909912E-6	196.999168E-3
138.212585E-3	211.343193E-3	366.316795E-3	169.096184E-3	38.909912E-6	197.220612E-3
138.258934E-3	211.343193E-3	366.497612E-3	168.994331E-3	38.909912E-6	197.503281E-3
139.342690E-3	212.458420E-3	367.882347E-3	170.150185E-3	38.909912E-6	197.732162E-3
138.645172E-3	211.688805E-3	367.426872E-3	169.285011E-3	38.909912E-6	198.141861E-3
138.834572E-3	211.847305E-3	367.959023E-3	169.531631E-3	38.909912E-6	198.427391E-3
138.759613E-3	211.751175E-3	368.114662E-3	169.573975E-3	38.909912E-6	198.540688E-3
138.864899E-3	211.752892E-3	368.383598E-3	169.366264E-3	38.909912E-6	199.017334E-3
139.992714E-3	212.941933E-3	369.798088E-3	170.744133E-3	38.909912E-6	199.053955E-3
139.433670E-3	212.176895E-3	369.330597E-3	169.618607E-3	38.909912E-6	199.711990E-3
139.791870E-3	212.567139E-3	369.990921E-3	170.132446E-3	38.909912E-6	199.858475E-3
139.700890E-3	212.482452E-3	370.370293E-3	170.014000E-3	38.909912E-6	200.356293E-3
139.853096E-3	212.531090E-3	370.743370E-3	169.876671E-3	38.909912E-6	200.866699E-3
140.857887E-3	213.611984E-3	372.221947E-3	171.257973E-3	38.909912E-6	200.963974E-3
140.174675E-3	212.950516E-3	371.850586E-3	170.187378E-3	38.909912E-6	201.663208E-3
140.539742E-3	213.305283E-3	372.458267E-3	170.297813E-3	38.909912E-6	202.160454E-3
140.370369E-3	212.960815E-3	372.619057E-3	170.436859E-3	38.909912E-6	202.182198E-3
140.584373E-3	213.079262E-3	372.965813E-3	170.648003E-3	38.909912E-6	202.317810E-3
141.639519E-3	214.170456E-3	374.336815E-3	171.694565E-3	38.909912E-6	202.642250E-3
