Notes :


2019/2/12 ¤U¤È 06:34:09
Volts
Ch : LED 2	Ch : LED 3	Ch : LED 1	Ch : LED 1 AMBIENT	Ch : LED 2 - LED3	Ch : LED 1 - LED 1 AMBIENT	
128.515434E-3	171.375847E-3	332.635117E-3	27.246666E-3	37.765503E-6	305.388451E-3
128.142357E-3	171.042824E-3	332.492638E-3	26.890755E-3	37.765503E-6	305.601883E-3
128.378105E-3	171.263123E-3	332.722092E-3	27.066422E-3	37.765503E-6	305.655670E-3
129.218674E-3	171.937180E-3	333.584976E-3	27.732468E-3	37.765503E-6	305.852509E-3
128.671646E-3	171.351814E-3	333.241081E-3	27.173996E-3	37.765503E-6	306.067085E-3
129.012680E-3	171.679115E-3	333.786964E-3	27.474976E-3	37.765503E-6	306.311989E-3
128.679657E-3	171.405602E-3	333.777809E-3	27.062416E-3	37.765503E-6	306.715393E-3
128.949165E-3	171.569824E-3	334.147453E-3	27.252388E-3	37.765503E-6	306.895065E-3
129.550552E-3	172.255898E-3	335.098457E-3	27.861214E-3	37.765503E-6	307.237244E-3
129.131699E-3	171.681976E-3	334.773445E-3	27.245522E-3	37.765503E-6	307.527924E-3
129.555130E-3	172.021294E-3	335.321617E-3	27.591705E-3	37.765503E-6	307.729912E-3
129.187775E-3	171.582413E-3	335.303307E-3	27.207756E-3	37.765503E-6	308.095551E-3
129.489899E-3	171.850777E-3	335.731316E-3	27.314758E-3	37.765503E-6	308.416557E-3
130.046082E-3	172.393799E-3	336.602211E-3	28.098106E-3	37.765503E-6	308.504105E-3
129.714775E-3	171.986961E-3	336.359596E-3	27.419472E-3	37.765503E-6	308.940125E-3
130.281258E-3	172.413254E-3	336.966705E-3	27.679253E-3	37.765503E-6	309.287453E-3
129.737091E-3	171.943474E-3	336.832809E-3	27.294731E-3	37.765503E-6	309.538078E-3
130.050087E-3	172.243881E-3	337.211037E-3	27.406311E-3	37.765503E-6	309.804726E-3
130.492973E-3	172.701645E-3	337.949181E-3	28.025436E-3	37.765503E-6	309.923744E-3
130.178261E-3	172.376060E-3	337.661934E-3	27.553368E-3	37.765503E-6	310.108566E-3
130.853462E-3	172.899628E-3	338.366318E-3	27.889252E-3	37.765503E-6	310.477066E-3
130.295563E-3	172.244453E-3	338.112831E-3	27.400589E-3	37.765503E-6	310.712242E-3
130.569649E-3	172.515106E-3	338.582611E-3	27.545357E-3	37.765503E-6	311.037254E-3
131.004524E-3	173.030663E-3	339.236641E-3	28.064919E-3	37.765503E-6	311.171722E-3
130.707550E-3	172.573471E-3	339.032936E-3	27.560234E-3	37.765503E-6	311.472702E-3
131.357002E-3	173.110199E-3	339.705849E-3	27.981949E-3	37.765503E-6	311.723900E-3
130.712700E-3	172.514534E-3	339.546776E-3	27.512741E-3	37.765503E-6	312.034035E-3
131.058884E-3	172.797775E-3	340.134430E-3	27.733612E-3	37.765503E-6	312.400818E-3
131.682587E-3	173.305321E-3	341.008186E-3	28.124428E-3	37.765503E-6	312.883759E-3
131.399918E-3	173.004913E-3	340.928078E-3	27.754211E-3	38.337708E-6	313.173866E-3
131.970406E-3	173.559952E-3	341.797829E-3	28.316689E-3	38.337708E-6	313.481140E-3
131.370163E-3	172.945976E-3	341.531181E-3	27.718735E-3	38.337708E-6	313.812447E-3
131.816483E-3	173.248672E-3	342.094231E-3	27.965927E-3	38.337708E-6	314.128304E-3
132.352638E-3	173.793411E-3	342.986870E-3	28.448868E-3	38.337708E-6	314.538002E-3
132.065392E-3	173.399162E-3	342.963982E-3	27.993393E-3	38.337708E-6	314.970589E-3
132.651901E-3	173.983955E-3	343.827438E-3	28.533554E-3	38.337708E-6	315.293884E-3
132.069969E-3	173.228645E-3	343.404007E-3	27.872658E-3	38.337708E-6	315.531349E-3
132.473946E-3	173.585129E-3	343.892670E-3	28.065491E-3	38.337708E-6	315.827179E-3
132.911682E-3	174.024582E-3	344.548416E-3	28.448296E-3	38.337708E-6	316.100121E-3
132.402992E-3	173.597145E-3	343.969917E-3	28.122711E-3	38.337708E-6	315.847206E-3
132.805824E-3	173.990822E-3	343.965340E-3	28.488922E-3	38.337708E-6	315.476418E-3
131.817055E-3	173.060417E-3	342.569733E-3	27.572250E-3	38.337708E-6	314.997482E-3
131.781578E-3	173.207474E-3	341.987801E-3	27.787971E-3	38.337708E-6	314.199829E-3
131.799316E-3	173.478699E-3	341.405296E-3	28.154182E-3	38.337708E-6	313.251114E-3
