Notes :


2019/2/12 ¤U¤È 03:07:21
Volts
Ch : LED 2	Ch : LED 3	Ch : LED 1	Ch : LED 1 AMBIENT	Ch : LED 2 - LED3	Ch : LED 1 - LED 1 AMBIENT	
99.231720E-3	168.901634E-3	262.085724E-3	20.573616E-3	44.631958E-6	241.512108E-3
99.681473E-3	169.202614E-3	262.709427E-3	20.871162E-3	44.631958E-6	241.838264E-3
100.024796E-3	169.559097E-3	263.471603E-3	21.350670E-3	44.631958E-6	242.120934E-3
99.879456E-3	169.305611E-3	263.281631E-3	20.874023E-3	44.631958E-6	242.407608E-3
100.419617E-3	169.961357E-3	264.019203E-3	21.422195E-3	44.631958E-6	242.597008E-3
99.715233E-3	169.294167E-3	263.286209E-3	20.664597E-3	44.631958E-6	242.621613E-3
100.000191E-3	169.563675E-3	263.261032E-3	20.867729E-3	44.631958E-6	242.393303E-3
99.824524E-3	169.546509E-3	262.798691E-3	21.106339E-3	44.631958E-6	241.692352E-3
99.090385E-3	168.990326E-3	261.337852E-3	20.635414E-3	44.631958E-6	240.702438E-3
99.239159E-3	169.281578E-3	260.590553E-3	21.189308E-3	44.631958E-6	239.401245E-3
97.834969E-3	168.104553E-3	258.385849E-3	20.238876E-3	44.631958E-6	238.146973E-3
97.820091E-3	168.157768E-3	257.185936E-3	20.363045E-3	44.631958E-6	236.822891E-3
97.385216E-3	167.693138E-3	256.046677E-3	20.456886E-3	44.631958E-6	235.589790E-3
96.624184E-3	167.169571E-3	254.568100E-3	19.969368E-3	44.631958E-6	234.598732E-3
97.077942E-3	167.640495E-3	254.266548E-3	20.480919E-3	44.631958E-6	233.785629E-3
95.910645E-3	166.560745E-3	252.592850E-3	19.711876E-3	44.631958E-6	232.880974E-3
95.974731E-3	166.679764E-3	252.403450E-3	19.960785E-3	44.631958E-6	232.442665E-3
95.865440E-3	166.537285E-3	252.120209E-3	20.006561E-3	44.631958E-6	232.113647E-3
95.447731E-3	166.236877E-3	251.521683E-3	19.625473E-3	44.631958E-6	231.896210E-3
96.136665E-3	166.917229E-3	251.985168E-3	20.497513E-3	44.631958E-6	231.487656E-3
95.100403E-3	166.012001E-3	250.825310E-3	19.579124E-3	44.631958E-6	231.246185E-3
95.435143E-3	166.260338E-3	250.905991E-3	20.025444E-3	44.631958E-6	230.880547E-3
95.397377E-3	166.191673E-3	250.695992E-3	20.058632E-3	44.631958E-6	230.637360E-3
95.145607E-3	165.950775E-3	250.183868E-3	19.784546E-3	44.631958E-6	230.399323E-3
95.840263E-3	166.679764E-3	250.870514E-3	20.519829E-3	44.631958E-6	230.350685E-3
95.204544E-3	165.791702E-3	250.013924E-3	19.523621E-3	44.631958E-6	230.490303E-3
95.310402E-3	166.050339E-3	250.161552E-3	19.757080E-3	44.631958E-6	230.404472E-3
95.209694E-3	166.060638E-3	250.329208E-3	19.875526E-3	44.631958E-6	230.453682E-3
95.222855E-3	166.065216E-3	250.301743E-3	19.634628E-3	44.631958E-6	230.667114E-3
95.990753E-3	166.905785E-3	251.358604E-3	20.448303E-3	44.631958E-6	230.910301E-3
95.537567E-3	166.529274E-3	251.049614E-3	19.662666E-3	44.631958E-6	231.386948E-3
95.721245E-3	166.659164E-3	251.583481E-3	19.971085E-3	44.631958E-6	231.612396E-3
95.760155E-3	166.662598E-3	251.878738E-3	20.030022E-3	44.631958E-6	231.848717E-3
95.881462E-3	166.671753E-3	252.190590E-3	19.880676E-3	44.631958E-6	232.309914E-3
96.760368E-3	167.482567E-3	253.264618E-3	20.723534E-3	44.631958E-6	232.541084E-3
96.185303E-3	166.956139E-3	252.942467E-3	20.265770E-3	44.631958E-6	232.676697E-3
96.441650E-3	167.180443E-3	253.269196E-3	20.282364E-3	44.631958E-6	232.986832E-3
96.319771E-3	167.130089E-3	253.403664E-3	20.222282E-3	44.631958E-6	233.181381E-3
96.433640E-3	167.207909E-3	253.570747E-3	20.099831E-3	44.631958E-6	233.470917E-3
97.226143E-3	168.070793E-3	254.491425E-3	20.885468E-3	44.631958E-6	233.605957E-3
96.636200E-3	167.443085E-3	253.870583E-3	20.257187E-3	44.631958E-6	233.613396E-3
96.766663E-3	167.616463E-3	254.199600E-3	20.294952E-3	44.631958E-6	233.904648E-3
96.501160E-3	167.442513E-3	254.003334E-3	20.145607E-3	44.631958E-6	233.857727E-3
96.732903E-3	167.482567E-3	253.970718E-3	20.132446E-3	44.631958E-6	233.838272E-3
97.396660E-3	168.092537E-3	254.837608E-3	20.915222E-3	44.631958E-6	233.922386E-3
96.711731E-3	167.530060E-3	254.401016E-3	20.281792E-3	44.631958E-6	234.119225E-3
97.031021E-3	167.623329E-3	254.682541E-3	20.434570E-3	44.631958E-6	234.247971E-3
96.728325E-3	167.320061E-3	254.625893E-3	20.299530E-3	44.631958E-6	234.326363E-3
96.946335E-3	167.471123E-3	254.898834E-3	20.250320E-3	44.631958E-6	234.648514E-3
97.678185E-3	168.194962E-3	255.887032E-3	21.021652E-3	44.631958E-6	234.865379E-3
97.231865E-3	167.733192E-3	255.614662E-3	20.357895E-3	44.631958E-6	235.256767E-3
97.650719E-3	168.109703E-3	256.113625E-3	20.626831E-3	44.631958E-6	235.486794E-3
97.235298E-3	167.694855E-3	256.060410E-3	20.222282E-3	44.631958E-6	235.838127E-3
97.487068E-3	167.895699E-3	256.553078E-3	20.514107E-3	44.631958E-6	236.038971E-3
98.369408E-3	168.643570E-3	257.653427E-3	21.202469E-3	44.631958E-6	236.450958E-3
97.967720E-3	168.128014E-3	257.478905E-3	20.554161E-3	44.631958E-6	236.924744E-3
98.323059E-3	168.523407E-3	258.191299E-3	20.812798E-3	44.631958E-6	237.378502E-3
97.916794E-3	168.092537E-3	258.023643E-3	20.381355E-3	44.631958E-6	237.642288E-3
98.307610E-3	168.407822E-3	258.591843E-3	20.516396E-3	44.631958E-6	238.075447E-3
98.989677E-3	169.097328E-3	259.740829E-3	21.372986E-3	44.631958E-6	238.367844E-3
98.642349E-3	168.775177E-3	259.712791E-3	20.840836E-3	44.631958E-6	238.871956E-3
99.176216E-3	169.194603E-3	260.393715E-3	21.101761E-3	44.631958E-6	239.291954E-3
98.605728E-3	168.545723E-3	260.086441E-3	20.721817E-3	44.631958E-6	239.364624E-3
98.901558E-3	168.992615E-3	260.573959E-3	20.807076E-3	44.631958E-6	239.766884E-3
99.572754E-3	169.564247E-3	261.622238E-3	21.330070E-3	44.631958E-6	240.292168E-3
99.201965E-3	169.150543E-3	261.464882E-3	20.866013E-3	44.631958E-6	240.598869E-3
99.826813E-3	169.789124E-3	262.232780E-3	21.223640E-3	44.631958E-6	241.009140E-3
99.424553E-3	169.063568E-3	262.077141E-3	20.688057E-3	44.631958E-6	241.389084E-3
99.780464E-3	169.513893E-3	262.798119E-3	20.989037E-3	44.631958E-6	241.809082E-3
100.514603E-3	170.181084E-3	263.897324E-3	21.577263E-3	44.631958E-6	242.320061E-3
100.114632E-3	169.914436E-3	263.820076E-3	21.125221E-3	44.631958E-6	242.694855E-3
100.847054E-3	170.432854E-3	264.630318E-3	21.565247E-3	44.631958E-6	243.065071E-3
100.092316E-3	169.787407E-3	264.295578E-3	20.780754E-3	44.631958E-6	243.514824E-3
100.481415E-3	170.077515E-3	264.902115E-3	21.173859E-3	44.631958E-6	243.728256E-3
101.080513E-3	170.811653E-3	265.777016E-3	21.497154E-3	44.631958E-6	244.279861E-3
100.710869E-3	170.226860E-3	265.596771E-3	21.180725E-3	44.631958E-6	244.416046E-3
101.338577E-3	170.853996E-3	266.358376E-3	21.629333E-3	44.631958E-6	244.729042E-3
100.698853E-3	170.121002E-3	265.798187E-3	20.861435E-3	44.631958E-6	244.936752E-3
100.957489E-3	170.420837E-3	266.088295E-3	21.121216E-3	44.631958E-6	244.967079E-3
