Notes :


2019/2/12 ¤U¤È 05:10:48
Volts
Ch : LED 2	Ch : LED 3	Ch : LED 1	Ch : LED 1 AMBIENT	Ch : LED 2 - LED3	Ch : LED 1 - LED 1 AMBIENT	
195.086861E-3	220.076180E-3	512.621498E-3	43.429756E-3	52.642822E-6	469.191742E-3
194.313812E-3	219.160080E-3	512.036705E-3	42.531395E-3	52.642822E-6	469.505310E-3
194.583893E-3	219.469070E-3	512.366867E-3	42.717361E-3	52.642822E-6	469.649506E-3
195.084572E-3	220.052147E-3	513.087273E-3	43.159103E-3	52.642822E-6	469.928169E-3
194.535255E-3	219.458771E-3	512.537956E-3	42.760849E-3	52.642822E-6	469.777107E-3
195.072556E-3	220.084763E-3	513.187408E-3	43.286705E-3	52.642822E-6	469.900703E-3
194.310951E-3	219.264793E-3	512.431526E-3	42.364311E-3	52.642822E-6	470.067215E-3
194.623375E-3	219.494247E-3	512.855530E-3	42.780304E-3	52.642822E-6	470.075226E-3
194.791031E-3	219.705963E-3	513.404846E-3	43.321037E-3	52.642822E-6	470.083809E-3
194.613075E-3	219.368362E-3	512.971687E-3	42.799187E-3	52.642822E-6	470.172501E-3
195.221901E-3	219.926834E-3	513.553047E-3	43.395424E-3	52.642822E-6	470.157623E-3
194.582748E-3	219.301414E-3	512.860107E-3	42.589760E-3	52.642822E-6	470.270348E-3
194.968414E-3	219.597816E-3	513.211441E-3	42.942810E-3	52.642822E-6	470.268631E-3
195.054817E-3	219.715118E-3	513.336754E-3	43.127060E-3	52.642822E-6	470.209694E-3
194.607925E-3	219.375801E-3	512.615776E-3	42.552567E-3	52.642822E-6	470.063210E-3
194.910049E-3	219.832993E-3	512.583733E-3	43.070984E-3	52.642822E-6	469.512749E-3
193.752480E-3	218.800163E-3	510.911751E-3	42.259598E-3	52.642822E-6	468.652153E-3
193.693542E-3	218.915749E-3	509.834862E-3	42.486191E-3	52.642822E-6	467.348671E-3
193.295288E-3	218.834496E-3	508.805466E-3	42.457008E-3	52.642822E-6	466.348457E-3
192.557144E-3	218.346405E-3	507.298279E-3	42.066765E-3	52.642822E-6	465.231514E-3
192.820358E-3	218.856239E-3	506.888580E-3	42.723656E-3	52.642822E-6	464.164925E-3
191.784668E-3	217.888641E-3	505.438614E-3	41.866493E-3	52.642822E-6	463.572121E-3
191.996956E-3	218.118095E-3	505.232620E-3	42.057037E-3	52.642822E-6	463.175583E-3
192.011261E-3	218.110657E-3	505.128479E-3	42.144012E-3	52.642822E-6	462.984467E-3
191.687393E-3	217.793083E-3	504.634666E-3	41.833878E-3	52.642822E-6	462.800789E-3
192.342567E-3	218.467140E-3	505.133057E-3	42.444420E-3	52.642822E-6	462.688637E-3
191.388702E-3	217.613411E-3	504.044151E-3	41.656494E-3	52.642822E-6	462.387657E-3
191.714859E-3	218.070030E-3	504.462433E-3	42.078209E-3	52.642822E-6	462.384224E-3
191.669655E-3	217.945862E-3	504.297638E-3	42.190933E-3	52.642822E-6	462.106705E-3
191.538048E-3	217.707825E-3	504.041862E-3	41.774368E-3	52.642822E-6	462.267494E-3
192.086220E-3	218.421936E-3	504.838371E-3	42.417526E-3	52.642822E-6	462.420845E-3
191.441345E-3	217.588806E-3	504.082489E-3	41.683960E-3	52.642822E-6	462.398529E-3
191.816711E-3	218.019104E-3	504.614067E-3	42.131996E-3	52.642822E-6	462.482071E-3
191.774368E-3	218.043709E-3	504.634094E-3	42.063904E-3	52.642822E-6	462.570190E-3
191.610718E-3	217.762756E-3	504.464149E-3	41.868782E-3	52.642822E-6	462.595367E-3
192.414665E-3	218.550682E-3	505.220032E-3	42.589188E-3	52.642822E-6	462.630844E-3
191.875648E-3	217.790794E-3	504.462433E-3	41.757202E-3	52.642822E-6	462.705231E-3
191.949463E-3	218.035698E-3	504.779434E-3	42.102814E-3	52.642822E-6	462.676620E-3
191.838455E-3	217.949867E-3	504.630089E-3	42.113113E-3	52.642822E-6	462.516975E-3
191.701126E-3	217.718124E-3	504.495621E-3	41.925430E-3	52.642822E-6	462.570190E-3
192.343140E-3	218.447113E-3	505.174255E-3	42.598343E-3	52.642822E-6	462.575912E-3
191.818428E-3	217.898369E-3	504.541969E-3	41.781235E-3	52.642822E-6	462.760735E-3
191.826439E-3	217.911530E-3	504.597473E-3	42.115402E-3	52.642822E-6	462.482071E-3
191.703415E-3	217.862892E-3	504.351997E-3	42.097092E-3	52.642822E-6	462.254906E-3
191.655922E-3	217.756462E-3	504.209518E-3	41.865921E-3	52.642822E-6	462.343597E-3
192.202377E-3	218.366432E-3	504.703903E-3	42.649841E-3	52.642822E-6	462.054062E-3
191.599274E-3	217.850304E-3	504.128265E-3	42.070198E-3	52.642822E-6	462.058067E-3
191.608429E-3	217.702675E-3	503.852463E-3	42.204094E-3	52.642822E-6	461.648369E-3
191.415596E-3	217.528725E-3	503.569221E-3	42.010689E-3	52.642822E-6	461.558533E-3
191.324615E-3	217.452049E-3	503.485107E-3	42.024994E-3	52.642822E-6	461.460114E-3
191.909981E-3	218.079185E-3	504.072762E-3	42.535973E-3	52.642822E-6	461.536789E-3
191.184998E-3	217.433739E-3	503.375816E-3	42.135429E-3	52.642822E-6	461.240387E-3
191.402435E-3	217.533302E-3	503.382683E-3	42.133713E-3	52.642822E-6	461.248970E-3
191.242790E-3	217.372513E-3	503.211021E-3	41.967773E-3	52.642822E-6	461.243248E-3
191.208458E-3	217.321014E-3	502.944946E-3	41.986656E-3	52.642822E-6	460.958290E-3
191.802979E-3	217.963028E-3	503.752327E-3	42.650414E-3	52.642822E-6	461.101913E-3
191.278267E-3	217.391396E-3	503.155518E-3	41.986656E-3	52.642822E-6	461.168861E-3
191.342926E-3	217.484093E-3	503.296852E-3	42.168617E-3	52.642822E-6	461.128235E-3
191.157532E-3	217.257500E-3	503.317451E-3	42.106819E-3	52.642822E-6	461.210632E-3
191.315460E-3	217.380524E-3	503.482246E-3	41.966057E-3	52.642822E-6	461.516190E-3
192.023277E-3	218.031120E-3	504.428673E-3	42.654419E-3	52.642822E-6	461.774254E-3
191.504288E-3	217.637444E-3	503.961754E-3	42.230415E-3	52.642822E-6	461.731339E-3
191.719437E-3	217.830276E-3	504.293633E-3	42.266464E-3	52.642822E-6	462.027168E-3
191.473961E-3	217.506409E-3	504.212952E-3	42.025566E-3	52.642822E-6	462.187386E-3
191.631317E-3	217.648888E-3	504.440117E-3	42.031288E-3	52.642822E-6	462.408829E-3
192.407799E-3	218.350410E-3	505.425453E-3	42.820358E-3	52.642822E-6	462.605095E-3
191.806984E-3	217.716980E-3	505.036926E-3	42.271614E-3	52.642822E-6	462.765312E-3
192.114830E-3	218.073463E-3	505.405998E-3	42.237282E-3	52.642822E-6	463.168716E-3
191.839027E-3	217.703247E-3	505.255508E-3	42.185211E-3	52.642822E-6	463.070297E-3
192.012405E-3	217.860603E-3	505.533028E-3	42.269325E-3	52.642822E-6	463.263702E-3
192.586327E-3	218.508339E-3	506.332397E-3	42.862701E-3	52.642822E-6	463.469696E-3
192.131424E-3	218.000221E-3	505.825424E-3	42.236710E-3	52.642822E-6	463.588715E-3
192.432976E-3	218.154716E-3	506.025696E-3	42.453003E-3	52.642822E-6	463.572693E-3
191.921425E-3	217.798233E-3	505.736160E-3	42.020988E-3	52.642822E-6	463.715172E-3
192.155457E-3	217.979050E-3	506.113243E-3	42.182922E-3	52.642822E-6	463.930321E-3
192.629814E-3	218.458557E-3	506.784439E-3	42.885017E-3	52.642822E-6	463.899422E-3
